Id,Demand,Payment,Payment_Demand_Ratio
50,1147,1261183,1099.5492589363557
97,1116,1224908,1097.5878136200718
45,806,882735,1095.2047146401985
35,898,983308,1094.9977728285078
29,931,1017948,1093.392051557465
11,954,1042472,1092.7379454926624
90,818,891940,1090.3911980440098
79,1003,1091228,1087.9641076769692
32,876,951737,1086.4577625570776
16,1038,1124717,1083.5423892100193
15,869,941077,1082.9424626006905
94,1124,1217146,1082.870106761566
42,896,969176,1081.669642857143
91,1050,1132936,1078.9866666666667
93,1108,1190644,1074.5884476534295
69,960,1030442,1073.3770833333333
65,792,848865,1071.7992424242425
27,1069,1145225,1071.3049579045837
21,803,859649,1070.546699875467
58,869,928430,1068.3889528193326
55,1051,1120445,1066.0751665080875
98,844,896921,1062.702606635071
59,1169,1242185,1062.6047904191616
75,1179,1248753,1059.1628498727734
41,1124,1188972,1057.8042704626334
3,850,898438,1056.9858823529412
81,891,938962,1053.8294051627386
83,1096,1154215,1053.1158759124087
82,924,968946,1048.642857142857
38,809,847720,1047.8615574783685
63,1125,1176963,1046.1893333333333
56,1180,1233671,1045.4838983050847
39,1086,1134586,1044.7384898710866
28,1186,1231928,1038.725126475548
52,907,940662,1037.1135611907387
80,1124,1156787,1029.1699288256227
17,1095,1123071,1025.6356164383562
72,821,836253,1018.57856272838
62,898,914136,1017.9688195991091
1,1080,1096714,1015.4759259259259
60,863,873296,1011.9304750869061
37,1107,1115134,1007.3477868112014
86,1046,1053259,1006.9397705544933
18,1123,1130673,1006.8325912733749
47,1164,1168414,1003.7920962199313
9,912,914184,1002.3947368421053
77,1044,1040350,996.5038314176245
61,1152,1144774,993.7274305555555
36,819,810926,990.1416361416361
10,1076,1064856,989.6431226765799
30,1147,1123556,979.5605928509154
19,798,779335,976.610275689223
33,892,870575,975.9809417040359
12,847,825293,974.3719008264463
76,974,948963,974.2946611909651
54,994,965663,971.4919517102616
5,795,770761,969.5106918238994
49,1010,977550,967.8712871287129
0,1020,986584,967.2392156862745
7,948,916350,966.6139240506329
87,995,961541,966.3728643216081
24,1166,1126397,966.0351629502572
64,1112,1072332,964.3273381294964
57,1093,1053963,964.284537968893
6,1001,961204,960.2437562437563
34,1087,1043340,959.834406623735
2,815,782160,959.7055214723927
14,940,901309,958.8393617021277
31,857,817126,953.4725787631272
53,1155,1095270,948.2857142857143
99,1094,1036430,947.3765996343693
20,1137,1076373,946.6781002638522
4,879,831530,945.9954493742889
8,1064,1004876,944.4323308270676
44,1048,984395,939.3082061068702
71,812,762714,939.3029556650247
23,1184,1111203,938.5160472972973
78,1126,1054119,936.1625222024867
95,1086,1014222,933.9060773480663
46,1156,1079373,933.7136678200692
96,980,914023,932.6765306122448
22,920,856572,931.0565217391304
13,916,848545,926.3591703056769
92,987,910056,922.0425531914893
70,975,898663,921.7056410256411
40,899,827968,920.9877641824249
48,1163,1066488,917.0146173688736
51,1049,960502,915.6358436606291
85,1102,1005862,912.7604355716878
89,1178,1074094,911.7945670628184
25,950,865848,911.4189473684211
84,853,777419,911.3939038686987
67,987,899307,911.1519756838906
43,1161,1056823,910.2695951765719
74,986,897109,909.8468559837728
88,813,739500,909.5940959409594
66,1047,949208,906.5978987583572
68,1025,927389,904.769756097561
26,1068,966183,904.6657303370787
73,1132,1021506,902.3904593639576
