Id,Demand,Payment,Payment_Demand_Ratio
12,280,305531,1091.182142857143
2,235,254627,1083.5191489361703
24,210,227518,1083.4190476190477
13,237,256698,1083.113924050633
38,291,313592,1077.635738831615
11,242,259634,1072.8677685950413
43,244,259996,1065.5573770491803
19,230,243766,1059.8521739130435
41,201,213007,1059.7363184079602
30,268,283101,1056.347014925373
9,293,307974,1051.1058020477815
10,238,249276,1047.3781512605042
31,293,306781,1047.0341296928327
22,254,265314,1044.5433070866143
32,292,301971,1034.1472602739725
14,261,267801,1026.057471264368
21,242,248277,1025.9380165289256
25,278,284269,1022.5503597122303
27,267,272271,1019.7415730337078
36,270,275085,1018.8333333333334
35,212,213310,1006.1792452830189
29,266,266296,1001.1127819548872
8,272,272299,1001.0992647058823
34,216,216218,1001.0092592592592
23,215,214211,996.3302325581395
15,236,235048,995.9661016949152
20,215,211778,985.0139534883721
48,296,291203,983.793918918919
28,281,276372,983.5302491103203
40,283,275483,973.4381625441696
17,263,255654,972.0684410646388
33,219,212047,968.2511415525114
6,210,203091,967.1
44,281,271601,966.5516014234876
4,256,247003,964.85546875
45,268,257795,961.9216417910447
1,269,258557,961.1784386617101
5,293,281159,959.5870307167236
16,300,285947,953.1566666666666
3,204,194440,953.1372549019608
39,286,267790,936.3286713286714
18,243,227470,936.0905349794239
47,246,230105,935.3861788617886
7,273,254929,933.8058608058608
42,205,190024,926.9463414634147
37,277,251773,908.9277978339351
46,276,250657,908.177536231884
49,225,203039,902.3955555555556
26,260,234605,902.3269230769231
0,228,205358,900.6929824561404
