Id,Demand,Payment,Payment_Demand_Ratio
11,4897,5385577,1099.7706759240352
93,5088,5595451,1099.7348663522012
5,4004,4401512,1099.2787212787214
0,5833,6375855,1093.066175210012
62,4350,4739314,1089.4974712643677
18,4652,5053589,1086.3260963026655
95,5857,6358382,1085.6038927778727
72,4913,5322564,1083.3633217993079
23,5177,5577634,1077.3872899362566
19,4710,5073374,1077.1494692144374
81,5426,5843639,1076.9699594544784
2,4140,4445830,1073.8719806763286
30,5152,5507959,1069.0914208074535
71,5511,5891225,1068.9938305207766
37,5095,5433310,1066.4003925417076
85,5503,5865465,1065.8667999273123
83,5452,5800182,1063.8631694790902
28,4302,4561327,1060.2805671780568
25,4685,4962231,1059.174172892209
16,4985,5272755,1057.7241725175527
76,5731,6039357,1053.8050950968418
42,5374,5653439,1051.9983252698175
27,4230,4446259,1051.1250591016549
51,4812,5049830,1049.4243557772236
46,4192,4394028,1048.1937022900763
55,5166,5414952,1048.1904761904761
64,4913,5141871,1046.5847750865053
40,4849,5063210,1044.1761187873788
4,5189,5415782,1043.7043746386587
1,4487,4671076,1041.0242924002675
90,4778,4964580,1039.049811636668
97,5766,5989514,1038.7641345820325
67,5622,5815602,1034.436499466382
24,5204,5380712,1033.956956187548
91,4867,5016630,1030.7437846722828
96,4906,5032904,1025.867101508357
70,5489,5613102,1022.6092184368738
34,4500,4560944,1013.5431111111111
86,4581,4638702,1012.595939751146
84,4912,4963299,1010.4436074918567
6,5620,5677416,1010.2163701067616
60,4133,4172801,1009.6300508105493
9,5894,5950678,1009.6162198846284
59,5407,5458386,1009.5036064361013
43,4830,4857471,1005.6875776397516
50,5555,5571781,1003.0208820882089
45,5644,5652339,1001.477498228207
10,5934,5930654,999.4361307718234
88,5240,5229476,997.9916030534351
21,4063,4053423,997.642874723111
77,4303,4281390,994.9779223797351
48,4622,4594256,993.9974037213327
35,5260,5210782,990.6429657794677
92,3970,3930817,990.1302267002519
80,4970,4917382,989.4128772635814
38,4054,4010958,989.3828317710903
99,4156,4110422,989.0332050048123
78,5114,5040590,985.645287446226
98,5679,5594366,985.0970241239655
31,4534,4464390,984.647110719012
36,4219,4151968,984.1118748518606
57,4135,4060321,981.9397823458283
52,4783,4660320,974.350825841522
69,4811,4678825,972.5265017667845
82,4059,3945888,972.1330376940133
89,5517,5353782,970.415443175639
47,4563,4423481,969.4238439623055
15,5207,5037214,967.3927405415786
63,5705,5491119,962.5099035933392
13,5407,5190585,959.9750323654522
41,4725,4515361,955.6319576719577
12,5885,5619041,954.8073067119797
74,4327,4126721,953.7141206378553
22,5444,5189805,953.3073108008817
87,5602,5323311,950.2518743305963
7,5187,4917003,947.9473684210526
65,4736,4472909,944.4486908783783
3,4637,4378145,944.176191503127
56,5015,4727056,942.5834496510469
17,5542,5204756,939.1476001443522
53,5587,5242312,938.3053517093252
8,5307,4967287,935.9877520256265
66,4334,4045086,933.3377941855099
49,4612,4301672,932.7129228100607
20,4705,4383164,931.5970244420829
33,5019,4672254,930.9133293484758
94,5391,5018145,930.8375069560378
26,5412,5023701,928.2522172949002
32,5230,4848020,926.9636711281071
75,5060,4664114,921.7616600790514
73,3975,3661389,921.1041509433962
79,4016,3695530,920.2016932270916
14,4903,4510194,919.8845604731797
44,4520,4140841,916.1152654867257
39,5423,4964206,915.3984879218145
58,5763,5270077,914.4676383827867
29,5872,5334593,908.4797343324251
61,5013,4542584,906.1607819668861
54,5013,4539533,905.5521643726312
68,4539,4107012,904.827495042961
