B_index,B_id,Latitude,Longitude,Media,B_Size,B_Cost,Influence,Influenced_Users,Influence_per_timestep
1,18,40.85071,-73.93581,Poster,233,755.4143816732513,992.3303571428119,987,0.6891183035713971
2,22,40.85071,-73.93581,Poster,220,654.3366946542955,936.9642857143115,987,0.6506696428571608
3,23,40.85071,-73.93581,Poster,601,1657.273101202782,2559.6160714285793,987,1.7775111607142913
4,68,40.85071,-73.93581,Poster,422,1245.2146309035822,1797.2678571427766,987,1.2481026785713727
5,69,40.85071,-73.93581,Poster,214,611.5293242135363,911.410714285769,987,0.6329241071428952
6,70,40.85071,-73.93581,Poster,139,381.92405788523627,591.9910714285567,987,0.41110491071427546
7,75,40.85071,-73.93581,Poster,296,910.568476483048,1260.6428571427953,987,0.8754464285713855
8,76,40.85071,-73.93581,Poster,556,1683.4916832891292,2367.9642857142267,987,1.6444196428571018
9,104,40.85071,-73.93581,Poster,256,728.5014072725346,1090.2857142857529,987,0.757142857142884
10,105,40.85071,-73.93581,Poster,509,1457.7085853926346,2167.7946428569862,987,1.5054129464284627
11,106,40.85071,-73.93581,Poster,175,560.9745559090353,745.312499999981,987,0.5175781249999868
12,125,40.85071,-73.93581,Poster,239,727.0062591092062,1017.883928571502,987,0.7068638392857652
13,143,40.86981,-73.9166,Poster,145,602.7976782502126,890.7142857143381,1056,0.6185515873016236
14,144,40.86981,-73.9166,Poster,172,745.5592043255522,1056.5714285714976,1056,0.7337301587302066
15,162,40.86981,-73.9166,Poster,670,3008.7587315388873,4115.714285714436,1056,2.8581349206350253
16,163,40.86981,-73.9166,Poster,566,2402.3330406741093,3476.857142857224,1056,2.4144841269841835
17,167,40.86981,-73.9166,Poster,638,2771.6639232390608,3919.1428571426018,1056,2.721626984126807
18,171,40.86981,-73.9166,Poster,560,2172.5667298428743,3440.0000000001787,1056,2.388888888889013
19,176,40.86981,-73.9166,Poster,128,496.8841922347429,786.2857142856788,1056,0.5460317460317213
20,184,40.86981,-73.9166,Poster,236,1063.350172654094,1449.714285714169,1056,1.0067460317459507
21,185,40.86981,-73.9166,Poster,567,2544.384798945183,3483.0,1056,2.41875
22,194,40.86981,-73.9166,Poster,187,737.1373859400153,1148.7142857143665,1056,0.7977182539683101
23,195,40.86981,-73.9166,Poster,460,1932.0312596180108,2825.7142857144245,1056,1.9623015873016836
24,196,40.86981,-73.9166,Poster,646,2769.462655898449,3968.2857142860403,1056,2.7557539682541945
25,212,40.86981,-73.9166,Poster,396,1823.733849662503,2432.571428571546,1056,1.689285714285796
26,215,40.86981,-73.9166,Poster,474,2115.3864960912642,2911.7142857144618,1056,2.022023809523932
27,216,40.86981,-73.9166,Poster,292,1208.0817826469033,1793.7142857144015,1056,1.245634920635001
28,222,40.86981,-73.9166,Poster,315,1256.7950895020579,1935.0,1056,1.34375
29,257,40.86981,-73.9166,Poster,175,783.6182321026115,1074.9999999999552,1056,0.7465277777777467
30,258,40.86981,-73.9166,Poster,250,1144.589481443061,1535.714285714391,1056,1.0664682539683272
31,261,40.818089,-73.960708,Poster,671,11956.58040112087,16868.860119043045,1083,11.714486193779893
32,262,40.818089,-73.960708,Poster,139,2583.3336103350466,3494.443452381768,1083,2.4266968419317836
33,288,40.818089,-73.960708,Poster,610,11428.39709489124,15335.327380957653,1083,10.649532903442815
34,289,40.818089,-73.960708,Poster,133,2229.1282453902486,3343.604166665988,1083,2.3219473379624915
35,290,40.818089,-73.960708,Poster,306,5701.967680168676,7692.803571427298,1083,5.342224702380069
36,291,40.818089,-73.960708,Poster,323,5192.151609564461,8120.1815476170295,1083,5.639014963622937
37,292,40.818089,-73.960708,Poster,449,8127.322207822898,11287.806547616776,1083,7.838754546956094
38,296,40.818089,-73.960708,Poster,390,6968.272470649062,9804.553571426628,1083,6.808717757935158
39,297,40.818089,-73.960708,Poster,380,6343.524254744755,9553.154761906268,1083,6.634135251323797
40,300,40.818089,-73.960708,Poster,314,5912.5378164090125,7893.922619044273,1083,5.481890707669634
41,301,40.818089,-73.960708,Poster,127,2151.509411622529,3192.7648809520515,1083,2.2171978339944802
42,304,40.818089,-73.960708,Poster,619,10506.741435617705,15561.586309527931,1083,10.806657159394396
43,305,40.818089,-73.960708,Poster,452,8031.707800152789,11363.226190474872,1083,7.891129298940883
44,311,40.818089,-73.960708,Poster,511,9509.668425008891,12846.479166664261,1083,8.921166087961293
45,320,40.818089,-73.960708,Poster,461,8668.570420911394,11589.485119043007,1083,8.048253554890977
46,321,40.818089,-73.960708,Poster,256,4265.166029615577,6435.809523808347,1083,4.469312169311352
47,331,40.818089,-73.960708,Poster,373,6952.951010379118,9377.175595235389,1083,6.511927496691242
48,334,40.818089,-73.960708,Poster,657,12610.953112381607,16516.90178571995,1083,11.470070684527743
49,335,40.818089,-73.960708,Poster,475,7766.090056294532,11941.44345238326,1083,8.292669064155042
50,336,40.818089,-73.960708,Poster,240,3972.0899666453306,6033.571428571845,1083,4.189980158730448
51,337,40.818089,-73.960708,Poster,151,2600.2607463471763,3796.1220238085466,1083,2.6361958498670464
52,348,40.818089,-73.960708,Poster,176,2947.2805229145347,4424.619047617788,1083,3.0726521164012417
53,373,40.818089,-73.960708,Poster,398,7232.738012974983,10005.672619043436,1083,6.948383763224609
54,374,40.818089,-73.960708,Poster,400,6496.535156483734,10055.95238095658,1083,6.98330026455318
55,409,40.818089,-73.960708,Poster,115,1982.892809740966,2891.0863095228624,1083,2.0076988260575432
56,412,40.818089,-73.960708,Poster,557,10000.25835378513,14002.913690472913,1083,9.724245618383968
57,415,40.818089,-73.960708,Poster,115,1850.5671481275924,2891.0863095228624,1083,2.0076988260575432
58,416,40.818089,-73.960708,Poster,365,6994.201993959983,9176.056547616925,1083,6.372261491400642
59,425,40.818089,-73.960708,Poster,659,11659.86786946138,16567.18154761657,1083,11.50498718584484
60,432,40.818089,-73.960708,Poster,554,8925.302219140058,13927.494047616652,1083,9.671870866400452
61,434,40.818089,-73.960708,Poster,388,6614.660225552111,9754.273809523416,1083,6.773801256613483
62,458,40.818089,-73.960708,Poster,160,2893.3722359625945,4022.380952382045,1083,2.7933201058208645
63,468,40.818089,-73.960708,Poster,655,12483.543813826594,16466.622023808326,1083,11.435154183200227
64,475,40.818089,-73.960708,Poster,494,8705.794280763459,12419.101190473988,1083,8.624375826718047
65,476,40.818089,-73.960708,Poster,384,6176.6676942241265,9653.714285715037,1083,6.703968253968776
66,503,40.818089,-73.960708,Poster,632,11452.836285254665,15888.404761911503,1083,11.0336144179941
67,506,40.818089,-73.960708,Poster,617,10709.93435894516,15511.306547616598,1083,10.771740658067081
68,518,40.818089,-73.960708,Poster,230,3869.775965641192,5782.172619045725,1083,4.0153976521150865
69,533,40.818089,-73.960708,Poster,86,1594.9724156128377,2162.0297619042435,1083,1.5014095568779469
70,550,40.818089,-73.960708,Poster,470,8555.207155654209,11815.744047616747,1083,8.205377810844963
71,557,40.818089,-73.960708,Poster,612,10428.498747013175,15385.607142854597,1083,10.684449404760137
72,575,40.818089,-73.960708,Poster,204,3650.4575709095548,5128.535714286741,1083,3.561483134921348
73,576,40.818089,-73.960708,Poster,383,6389.419511799516,9628.574404764693,1083,6.686510003308815
74,607,40.818089,-73.960708,Poster,578,10244.260092341838,14530.851190472607,1083,10.090868882272645
75,610,40.818089,-73.960708,Poster,362,6801.17754612042,9100.636904764515,1083,6.319886739419802
76,614,40.818089,-73.960708,Poster,629,10572.525320785784,15812.985119042285,1083,10.981239666001587
77,615,40.818089,-73.960708,Poster,454,7790.177960515803,11413.505952383231,1083,7.926045800266133
78,643,40.818089,-73.960708,Poster,214,3798.674988032275,5379.934523808403,1083,3.7360656415336133
79,651,40.818089,-73.960708,Poster,271,4419.216898529307,6812.907738095902,1083,4.7311859292332645
80,652,40.818089,-73.960708,Poster,496,8093.737943067999,12469.380952383286,1083,8.659292328043948
